"cstm_cd","eigyosyo_cd","sales_date"
"02000088","00000001","2025-03-02"
"02000088","00000001","2025-03-03"
"02000088","00000001","2025-03-03"
"02000088","00000001","2025-03-03"
"02000088","00000001","2025-03-03"
"02000088","00000001","2025-03-03"
"02000088","00000001","2025-03-03"
"02000088","00000001","2025-03-03"
"02000088","00000001","2025-03-03"
"02000088","00000001","2025-03-03"
"02000088","00000001","2025-03-03"
"02000088","00000001","2025-03-04"
"02000088","00000001","2025-03-04"
"02000088","00000001","2025-03-04"
"02000088","00000001","2025-03-04"
"02000088","00000001","2025-03-04"
"02000088","00000001","2025-03-04"
"02000088","00000001","2025-03-04"
"02000088","00000001","2025-03-04"
"02000088","00000001","2025-03-04"
"02000088","00000001","2025-03-04"
"02000088","00000001","2025-03-04"
"02000088","00000001","2025-03-04"
"02000088","00000001","2025-03-04"
"02000088","00000001","2025-03-04"
"02000088","00000001","2025-03-04"
"02000088","00000001","2025-03-05"
"02000088","00000001","2025-03-05"
"02000088","00000001","2025-03-05"
"02000088","00000001","2025-03-05"
"02000088","00000001","2025-03-05"
"02000088","00000001","2025-03-05"
"02000088","00000001","2025-03-05"
"02000088","00000001","2025-03-05"
"02000088","00000001","2025-03-05"
"02000088","00000001","2025-03-05"
"02000088","00000001","2025-03-05"
"02000088","00000001","2025-03-05"
"02000088","00000001","2025-03-05"
"02000088","00000001","2025-03-05"
"02000088","00000001","2025-03-05"
"02000088","00000001","2025-03-06"
"02000088","00000001","2025-03-06"
"02000088","00000001","2025-03-06"
"02000088","00000001","2025-03-06"
"02000088","00000001","2025-03-06"
"02000088","00000001","2025-03-06"
"02000088","00000001","2025-03-06"
"02000088","00000001","2025-03-06"
"02000088","00000001","2025-03-06"
"02000088","00000001","2025-03-06"
"02000088","00000001","2025-03-06"
"02000088","00000001","2025-03-06"
"02000088","00000001","2025-03-06"
"02000088","00000001","2025-03-07"
"02000088","00000001","2025-03-07"
"02000088","00000001","2025-03-07"
"02000088","00000001","2025-03-07"
"02000088","00000001","2025-03-07"
"02000088","00000001","2025-03-07"
"02000088","00000001","2025-03-07"
"02000088","00000001","2025-03-07"
"02000088","00000001","2025-03-07"
"02000088","00000001","2025-03-07"
"02000088","00000001","2025-03-07"
"02000088","00000001","2025-03-07"
"02000088","00000001","2025-03-08"
"02000088","00000001","2025-03-08"
"02000088","00000001","2025-03-08"
"02000088","00000001","2025-03-08"
"02000088","00000001","2025-03-08"
"02000088","00000001","2025-03-08"
"02000088","00000001","2025-03-08"
"02000088","00000001","2025-03-08"
"02000088","00000001","2025-03-08"
"02000088","00000001","2025-03-09"
"02000088","00000001","2025-03-09"
"02000088","00000001","2025-03-09"
"02000088","00000001","2025-03-10"
"02000088","00000001","2025-03-10"
"02000088","00000001","2025-03-10"
"02000088","00000001","2025-03-10"
"02000088","00000001","2025-03-10"
"02000088","00000001","2025-03-10"
"02000088","00000001","2025-03-10"
"02000088","00000001","2025-03-11"
"02000088","00000001","2025-03-11"
"02000088","00000001","2025-03-11"
"02000088","00000001","2025-03-11"
"02000088","00000001","2025-03-11"
"02000088","00000001","2025-03-11"
"02000088","00000001","2025-03-11"
"02000088","00000001","2025-03-11"
"02000088","00000001","2025-03-11"
"02000088","00000001","2025-03-11"
"02000088","00000001","2025-03-11"
"02000088","00000001","2025-03-11"
"02000088","00000001","2025-03-11"
"02000088","00000001","2025-03-11"
"02000088","00000001","2025-03-11"
"02000088","00000001","2025-03-11"
"02000088","00000001","2025-03-11"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-12"
"02000088","00000001","2025-03-13"
"02000088","00000001","2025-03-13"
"02000088","00000001","2025-03-13"
"02000088","00000001","2025-03-13"
"02000088","00000001","2025-03-13"
"02000088","00000001","2025-03-13"
"02000088","00000001","2025-03-13"
"02000088","00000001","2025-03-13"
"02000088","00000001","2025-03-14"
"02000088","00000001","2025-03-14"
"02000088","00000001","2025-03-14"
"02000088","00000001","2025-03-14"
"02000088","00000001","2025-03-14"
"02000088","00000001","2025-03-14"
"02000088","00000001","2025-03-14"
"02000088","00000001","2025-03-15"
"02000088","00000001","2025-03-15"
"02000088","00000001","2025-03-15"
"02000088","00000001","2025-03-15"
"02000088","00000001","2025-03-15"
"02000088","00000001","2025-03-15"
"02000088","00000001","2025-03-16"
"02000088","00000001","2025-03-16"
"02000088","00000001","2025-03-16"
"02000088","00000001","2025-03-16"
"02000088","00000001","2025-03-16"
"02000088","00000001","2025-03-16"
"02000088","00000001","2025-03-17"
"02000088","00000001","2025-03-17"
"02000088","00000001","2025-03-17"
"02000088","00000001","2025-03-17"
"02000088","00000001","2025-03-17"
"02000088","00000001","2025-03-17"
"02000088","00000001","2025-03-18"
"02000088","00000001","2025-03-18"
"02000088","00000001","2025-03-18"
"02000088","00000001","2025-03-18"
"02000088","00000001","2025-03-18"
"02000088","00000001","2025-03-18"
"02000088","00000001","2025-03-18"
"02000088","00000001","2025-03-19"
"02000088","00000001","2025-03-19"
"02000088","00000001","2025-03-19"
"02000088","00000001","2025-03-19"
"02000088","00000001","2025-03-19"
"02000088","00000001","2025-03-20"
"02000088","00000001","2025-03-20"
"02000088","00000001","2025-03-20"
